Food_Name,Calories,Protein,Carbs,Fats,Food Category,Source
Peanut Butter Cucumber Sandwich,243.33,9.04,29.76,10.56,Indian,Indian
Mint And Peanut Sandwich,273.59,7.18,31.83,13.88,Indian,Indian
Spicy Chutney Sandwich,249.58,8.74,34.03,9.58,Indian,Indian
Chicken Walnut Sandwich (Chicken Aur Akhrot Ke Sandwich),285.78,12.58,22.62,16.77,Indian,Indian
Rolled Sandwich,293.07,6.45,34.69,15.29,Indian,Indian
Ribbon Sandwich,239.26,6.26,24.76,13.37,Indian,Indian
Checker Board Sandwich,348.37,7.37,25.94,24.65,Indian,Indian
Submarine Sandwich,216.92,6.09,13.6,15.32,Indian,Indian
Cheese Open Sandwich,274.07,9.84,28.42,14.24,Indian,Indian
Sunset And Sunrise Open Sandwich,241.31,8.58,18.89,15.14,Indian,Indian
Danish Luncheon Sandwich,193.82,9.03,17.77,10.1,Indian,Indian
Chicken And Corn Open Sandwich,188.16,8.63,19.21,8.83,Indian,Indian
Chocolate Sponge Cake,239.86,9.13,39.54,5.51,Indian,Indian
Chocolate Swiss Roll,306.08,6.01,26.97,19.76,Indian,Indian
Lemon Curd Filling,225.62,3.43,26.41,12.58,Indian,Indian
Jam Filling,184.62,0.0,46.15,0.0,Indian,Indian
Chocolate Pastry,243.37,7.05,32.24,10.12,Indian,Indian
Assorted Pastry,230.74,6.78,31.99,8.91,Indian,Indian
Orange Gateau,178.05,4.78,27.01,6.02,Indian,Indian
Black Forest Gateau,217.82,5.94,30.57,8.58,Indian,Indian
Lemon Cake,373.85,5.29,43.1,20.63,Indian,Indian
Dundee Cake,396.62,7.78,41.4,22.7,Indian,Indian
Victorian Sandwich Cake,373.09,5.18,44.74,19.83,Indian,Indian
Chocolate Eggless Cake,312.01,6.66,43.45,13.19,Indian,Indian
Orange Eggless Cake,355.62,7.16,52.65,13.82,Indian,Indian
Chocolate Glace Icing,436.29,3.22,62.43,20.8,Indian,Indian
Butter Icing,500.72,0.19,71.64,25.37,Indian,Indian
Chocolate Butter Icing,469.59,3.21,61.72,24.77,Indian,Indian
Almond Biscuit (Badam Ke Biscuit),407.74,6.25,52.14,19.7,Indian,Indian
Orange Biscuit,354.78,3.63,62.11,11.01,Indian,Indian
Gingerman Biscuit,357.43,6.26,55.24,12.73,Indian,Indian
Coffee Drops,443.07,7.57,43.06,27.16,Indian,Indian
Christmas Biscuit,406.07,5.67,60.97,15.88,Indian,Indian
Christmas Wreath Biscuit,386.05,5.43,58.07,15.01,Indian,Indian
Christmas Bell Biscuit,404.85,5.66,60.79,15.84,Indian,Indian
Christmas Star Biscuit,392.03,3.54,74.54,10.04,Indian,Indian
Christmas Tree Biscuit,385.63,5.43,58.41,15.0,Indian,Indian
Chocolate Cream Shells,427.17,5.1,59.26,19.34,Indian,Indian
Jelly Biscuit,404.61,4.23,55.24,19.33,Indian,Indian
Cherry And Walnut Cookies,422.6,5.63,59.35,18.75,Indian,Indian
Cheese Straws,382.0,9.83,30.61,24.28,Indian,Indian
Butterfly Biscuit,341.45,9.98,25.33,22.11,Indian,Indian
Flan Pastry,445.8,6.72,47.84,25.04,Indian,Indian
Fruit Flan,261.35,3.3,34.71,12.48,Indian,Indian
Orange Cream Flan,280.28,4.73,36.16,13.59,Indian,Indian
Fruit Puree Tart,286.5,3.35,30.42,16.83,Indian,Indian
Apple Banana Pie,243.99,3.13,32.12,11.39,Indian,Indian
Lemon Chiffon Pie,259.31,4.88,27.63,14.52,Indian,Indian
Orange Chiffon Pie,207.57,3.89,23.14,11.16,Indian,Indian
Cream Buns,215.74,4.45,14.16,15.81,Indian,Indian
Savoury Puffs,190.79,9.51,10.8,15.24,Indian,Indian
Choux Swans,216.34,4.35,14.92,15.6,Indian,Indian
Potato Aigrettes,530.03,2.35,8.01,54.24,Indian,Indian
Cream Horns,408.23,3.42,23.12,33.55,Indian,Indian
Savoury Cheese Horns,295.15,5.66,21.38,20.71,Indian,Indian
Paneer Patties,338.58,7.6,22.79,23.96,Indian,Indian
Vegetable Patties,261.92,4.01,20.98,17.74,Indian,Indian
Pearl Millet Infant Food (Bajra Shishu Aahaar),362.44,11.98,62.1,6.62,Indian,Indian
Sajina,345.26,10.81,66.87,3.03,Indian,Indian
Cereal Mix,120.81,3.32,21.84,2.02,Indian,Indian
Pulse Mix,83.29,3.16,16.0,0.54,Indian,Indian
Shishu Ahar,93.37,2.61,17.42,1.43,Indian,Indian
Cereal Pulse Mix With Amylase Rice Flour,151.57,4.27,27.8,2.74,Indian,Indian
Banana Groundnut Paste/Puree,213.19,4.27,36.15,5.45,Indian,Indian
Rice Dal Porridge (Chawal Dal Ki Khichdi/Khichri),383.33,10.8,65.04,8.33,Indian,Indian
Lentils And Semolina Porridge (Dal Suji Porridge/Daliya),117.29,3.26,23.19,1.06,Indian,Indian
Spinach Khichri (Palak Khichri/Khichdi),102.18,3.43,17.35,1.91,Indian,Indian
Vegetable Mix,174.21,4.7,36.02,0.94,Indian,Indian
Lentils And Wheat Porridge (Dal Wheat Porridge/Daliya ),52.54,2.71,8.36,0.94,Indian,Indian
Maize Porridge,89.57,2.14,15.64,1.89,Indian,Indian
Spinach Peanut Burfi (Palak Aur Mungfali Ki Burfi),105.37,3.36,13.59,4.39,Indian,Indian
Split Bengal Gram Burfi/Fudge (Channa Dal Burfi),287.36,4.65,54.63,7.09,Indian,Indian
Chickpea Flour Cookies (Sweet Besan Rounds/Cookies),207.01,4.29,39.64,3.42,Indian,Indian
Pearl Millet Mathri (Bajra Mathri),785.08,1.82,7.42,83.12,Indian,Indian
Sesame Biscuit (Til Ke Biscuit),424.03,8.27,53.65,19.34,Indian,Indian
Fermented Bengal Gram Vada (Khameerikrit/Ufna Hua Channa Dal Ka Vada),657.57,4.05,8.68,67.19,Indian,Indian
Poshtik Namak Paras,613.39,6.49,19.52,56.58,Indian,Indian
Soya Chikki,423.7,7.18,62.89,15.51,Indian,Indian
Besan Bathua Chilla/Cheela,373.82,11.48,40.65,18.57,Indian,Indian
Wheat Flour And Nuts Ladoos (Atta Nuts Ladoos),391.9,9.46,44.31,19.19,Indian,Indian
Gram Flour And Semolina Dhokla (Besan Suji Dhokla),198.91,8.52,25.92,7.1,Indian,Indian
Atta Dal Burfi,298.8,6.66,40.64,12.47,Indian,Indian
Soya Roti,283.96,9.18,40.03,9.23,Indian,Indian
Poshtik Khichdi/Khichri,93.37,3.04,15.64,1.88,Indian,Indian
Namkeen Daliya,295.11,8.29,49.32,7.99,Indian,Indian
Sprouts Upma,316.25,9.5,44.96,10.44,Indian,Indian
Semolina Idli (Suji/Rava Idli),206.39,9.34,33.67,3.47,Indian,Indian
Poshtik Chilla/Cheela,159.53,4.85,27.47,3.04,Indian,Indian
Stuffed Bittergourd (Dry) (Bharwa Karela),217.65,1.29,2.49,22.38,Indian,Indian
Cauliflower Potato Canjee,16.79,0.57,2.63,0.39,Indian,Indian
Creamed Spinach,96.91,5.18,4.44,6.39,Indian,Indian
Mango Milkshake With Ice Cream (Aam Milkshake Ice Cream Ke Saath),68.35,1.93,9.18,2.8,Indian,Indian
Pineapple Milkshake With Ice Cream (Ananas Milkshake Ice Cream Ke Saath),68.49,1.93,9.33,2.75,Indian,Indian
Orange Milkshake With Ice Cream (Narangi Milkshake Ice Cream Ke Saath),67.82,1.95,9.15,2.75,Indian,Indian
Woodapple Juice (Bel Ka Sharbat),34.18,0.63,6.51,0.7,Indian,Indian
Sattu Drink,23.38,0.56,5.16,0.14,Indian,Indian
Apple And Honey Sorbet (Seb Aur Shehad Ka Sharbat),121.3,0.15,30.74,0.29,Indian,Indian
Thandai,101.18,3.59,9.13,5.89,Indian,Indian
Cucumber Sharbat (Kheere Ka Sharbat),27.28,0.26,6.64,0.06,Indian,Indian
Apple Oats Chia Seed Smoothie,85.64,3.49,13.07,2.48,Indian,Indian
Nannari Sharbat,88.79,0.01,23.62,0.01,Indian,Indian
Semolina Milk Drink (Thari Kanji),44.16,0.98,6.93,1.36,Indian,Indian
Saffron Milk (Kesariya Doodh),102.18,3.17,12.64,4.57,Indian,Indian
Black Rice Kheer (Chak-Hao Kheer),147.94,4.37,22.93,4.91,Indian,Indian
Coconut Kheer (Nariyal Ki Kheer),162.61,3.4,14.42,10.55,Indian,Indian
Apple Sago Payasam (Seb Aur Sabudana Ki Kheer),136.5,3.13,14.4,7.66,Indian,Indian
Kesari Bath,244.57,2.4,31.38,12.59,Indian,Indian
Putharekulu,318.3,3.66,59.61,7.55,Indian,Indian
Mango Malpua,334.64,1.65,12.84,30.67,Indian,Indian
Mango Vanilla Custard,147.63,3.43,18.41,7.04,Indian,Indian
Kiwi Granola Pudding,280.99,5.6,32.33,15.36,Indian,Indian
Oats Burfi,425.19,8.89,62.47,17.27,Indian,Indian
Lotus Seed Halwa (Kamal Gattay Ka Halwa),370.55,7.79,39.56,20.69,Indian,Indian
Amaranth Ladoo (Rajgira Ladoo),454.15,10.12,51.33,22.7,Indian,Indian
Chhena Poda,344.57,13.68,33.64,17.94,Indian,Indian
Sweet Couscous Dessert,196.2,3.81,29.69,7.69,Indian,Indian
Sweetened Yogurt (Shrikhand),107.18,5.27,16.02,2.89,Indian,Indian
Thickened Sweetened Milk (Rabri),102.79,3.52,10.55,5.35,Indian,Indian
Gram Flour Halwa (Besan Halwa),276.79,5.88,25.78,17.3,Indian,Indian
Prawn Sandwich,169.65,10.36,11.89,9.27,Indian,Indian
Watercress Sandwich,229.42,5.17,28.03,11.47,Indian,Indian
Fish Sandwich,150.2,4.72,10.09,10.37,Indian,Indian
Kidney Bean Sandwich With Cottage Cheese,176.64,9.85,18.86,6.84,Indian,Indian
Finger Millet Biscuit (Ragi Biscuit),458.56,4.03,52.69,25.79,Indian,Indian
Buttermilk Biscuit,322.54,5.76,34.93,17.5,Indian,Indian
Lemon Cookies,394.48,5.63,42.19,23.02,Indian,Indian
Sweet Potato Biscuit (Shakarkand Ke Biscuit),296.4,5.14,38.13,13.31,Indian,Indian
Raspberry Shortbread Cookies,441.12,3.0,61.25,21.25,Indian,Indian
Pumpkin Cookies,218.4,2.51,44.69,3.93,Indian,Indian
Greenpea Cookies,159.42,6.53,23.07,4.24,Indian,Indian
Sunflower Cookies,520.62,9.49,40.06,36.28,Indian,Indian
Cardamom Cookies (Elaichi Cookies),400.49,5.1,53.99,19.12,Indian,Indian
Hazelnut Cookies,493.32,6.25,39.44,34.97,Indian,Indian
Milk Cookies,459.43,10.49,48.43,24.96,Indian,Indian
Cranberry Cookies,272.48,3.92,36.39,12.66,Indian,Indian
Olive Biscuit,438.29,3.2,55.01,23.75,Indian,Indian
Tutti Fruitti Biscuit,420.78,5.21,53.12,17.9,Indian,Indian
Peach Blueberry Preserves,177.38,0.53,45.76,0.2,Indian,Indian
Pear Preserves (Naashpati Ka Murabba),101.24,0.25,25.67,0.19,Indian,Indian
Starfruit Preserves,128.93,0.24,33.62,0.12,Indian,Indian
Gooseberry Pickle (Amla Ka Achaar),278.58,1.55,7.61,27.61,Indian,Indian
Lotus Stem Pickle (Kamal Kakdi Ka Achar),102.69,1.44,20.07,1.6,Indian,Indian
Date Pickle (Khajoor Ka Achaar),182.29,1.68,34.66,4.21,Indian,Indian
Garlic Pickle (Lahasun Ka Achar),413.62,3.72,9.75,39.88,Indian,Indian
Fermented Bamboo Shoot Pickle (Mesu Pickle),59.83,1.58,1.73,5.59,Indian,Indian
Sweet Peach Pickle (Aadoo Ka Achaar),144.64,0.46,37.01,0.2,Indian,Indian
Pickled Mustard Greens,13.12,1.51,1.05,0.22,Indian,Indian
Small Onion Pickle,16.86,1.65,2.76,0.64,Indian,Indian
Green Tomato Pickle (Haray Tamatar Ka Achaar),193.26,1.23,2.87,19.67,Indian,Indian
Pickled Cabbage,13.69,0.39,2.56,0.14,Indian,Indian
Coconut Pickle (Nariyal Ka Aachar),517.26,3.02,11.53,51.71,Indian,Indian
Potato Pickle (Aloo Ka Achaar),369.14,2.07,7.87,36.46,Indian,Indian
Mango Murabba Candy,293.35,0.27,77.32,0.05,Indian,Indian
Afghani Chicken,151.51,15.66,1.95,9.07,Indian,Indian
Fish Orly,563.7,5.87,4.27,58.18,Indian,Indian
Hariyali Fish Tikka,150.24,14.01,2.21,9.41,Indian,Indian
Chicken Manchurian,142.34,9.53,6.06,11.96,Indian,Indian
Handi Chicken,166.02,12.32,1.49,12.46,Indian,Indian
Lemon Chicken,169.79,20.2,0.55,9.66,Indian,Indian
Lemon Butter Fish,160.25,16.38,0.75,10.26,Indian,Indian
Baked Eggs In Tomato Sauce,80.05,4.92,3.78,5.22,Indian,Indian
Egg In A Pepper,128.78,12.64,0.17,8.68,Indian,Indian
Spinach Mushroom Scrambled Egg (Palak Mushroom Bhurji),158.85,13.28,0.59,11.51,Indian,Indian
Corn Omelette/Omlet,166.93,11.37,1.57,12.89,Indian,Indian
Cajun Chicken,184.94,12.69,1.94,13.99,Indian,Indian
Paaner Do Pyaza,127.7,4.22,3.41,10.87,Indian,Indian
Cabbage Manchurian (Pattagobhi Manchurian),224.26,0.64,4.85,22.48,Indian,Indian
Gobi 65,278.29,0.56,3.59,29.11,Indian,Indian
Paneer Lababdar,105.48,3.98,3.37,8.46,Indian,Indian
Roasted Cauliflower Steak,78.68,2.05,2.02,6.7,Indian,Indian
Sauteed Radishes With Green Beans,94.32,2.41,6.04,6.61,Indian,Indian
Garlic Chutney/Poondu Chutney (Lahasun Ki Chutney),255.51,3.34,20.44,17.55,Indian,Indian
Schezwan Chutney,205.19,3.33,10.79,17.72,Indian,Indian
Onion Chutney (Pyaaz Ki Chutney/Vengaya Chutney),143.94,2.97,13.52,8.38,Indian,Indian
Dates Chutney (Khajoor Ki Chutney),103.57,1.07,21.69,1.12,Indian,Indian
Chicken Salad,338.19,15.33,1.3,30.26,Indian,Indian
Macaroni Salad,262.19,5.02,21.63,17.78,Indian,Indian
Cabbage Raita (Pattagobhi Raita),84.84,3.24,5.25,5.76,Indian,Indian
Pomegranate Raita (Anaar Ka Raita),72.64,4.05,7.15,3.24,Indian,Indian
Onion Raita (Pyaaz Ka Raita),71.56,4.86,7.86,2.43,Indian,Indian
Green Chilli Raita (Hari Mirch Ka Raita),77.13,5.58,7.66,2.92,Indian,Indian
Kale Salad,177.71,4.86,5.01,15.33,Indian,Indian
Spinach And Paneer Souffle,186.19,7.56,9.64,13.49,Indian,Indian
Masala Souffle,123.51,6.38,8.02,7.37,Indian,Indian
Chicken And Cheese Souffle,182.35,9.07,3.47,14.74,Indian,Indian
Tamarind Chutney (Chintapandu Pachadi/Puli Chutney),109.15,0.88,25.07,0.48,Indian,Indian
Pav Bhaji Masala,230.47,9.13,29.15,10.96,Indian,Indian
Green Chutney,79.42,5.42,10.01,1.6,Indian,Indian
Sago Khitchdi/Khichri (Sabudana Khitchdi/Khichri),187.16,2.72,22.41,10.1,Indian,Indian
Gram Flour Chilla/Cheela (Besan Chilla/Cheela),135.93,7.8,21.03,2.85,Indian,Indian
Vegetable Namkeen Jave,112.23,2.93,18.98,2.51,Indian,Indian
Khakhra,178.5,4.78,27.66,5.32,Indian,Indian
Moong Bean Dosa (Pesarattu),285.96,12.32,31.91,11.67,Indian,Indian
Methi Thepla,346.16,8.98,41.34,15.95,Indian,Indian
Rice Puttu (Ari Puttu),81.98,1.26,11.82,3.13,Indian,Indian
Buckwheat Pancake (Khura),263.3,2.91,27.28,16.43,Indian,Indian
Quinoa Khichdi/Khichri,64.01,3.18,8.83,1.59,Indian,Indian
Khakhra Chaat,358.66,4.52,16.64,30.65,Indian,Indian
Banana Appam,469.81,1.17,20.06,42.53,Indian,Indian
Veg Manchurian,585.64,0.89,6.82,61.65,Indian,Indian
Pav Bhaji,96.53,2.66,11.99,4.32,Indian,Indian
Rice Murukku,593.99,5.41,33.29,48.22,Indian,Indian
Bhel Puri,509.89,3.52,16.47,47.91,Indian,Indian
Semolina Dhokla (Suji/Rava Dhokla),194.91,5.44,30.86,5.2,Indian,Indian
Spicy Corn Chaat,479.8,4.61,11.45,46.55,Indian,Indian
Jackfruit Fritters (Ponsa Mulik/Kathal Ka Pakora),597.79,2.34,24.0,54.41,Indian,Indian
Banana Chips (Kele Ke Chips),665.67,0.37,7.32,70.46,Indian,Indian
Wheat Cake,314.63,4.79,41.13,14.95,Indian,Indian
Mango Cheesecake,152.46,2.39,20.06,7.3,Indian,Indian
Carrot Cake (Gajar Ka Cake),255.59,5.6,35.98,10.27,Indian,Indian
Semolina Cake (Suji/Rava Cake),374.14,6.58,31.32,25.18,Indian,Indian
Finger Millet Cake (Ragi Cake),279.46,3.96,38.93,12.27,Indian,Indian
Honey Cake,333.59,3.08,49.04,14.7,Indian,Indian
Almond Cardamom Cake (Badam Elaichi Cake),356.35,7.18,34.53,21.36,Indian,Indian
Tutti Frutti Cake,347.72,4.49,52.94,12.68,Indian,Indian
Ham And Bean Soup,96.04,10.61,4.18,4.15,Indian,Indian
Whey Soup,68.91,3.45,6.26,3.34,Indian,Indian
Bottle Gourd Soup (Ghiya/Lauki Soup),23.05,0.45,1.16,1.79,Indian,Indian
Baked Potato Soup,147.05,5.73,5.85,11.21,Indian,Indian
Pumpkin Soup,40.05,0.47,2.08,3.2,Indian,Indian
Sweet Corn Soup,32.25,0.99,3.56,1.63,Indian,Indian
Paneer Soup,47.85,3.22,2.42,2.8,Indian,Indian
Curried Cauliflower Soup,37.32,6.72,3.12,9.77,Indian,Indian
Millet Soup,55.99,11.26,8.22,12.57,Indian,Indian
Lemon Coriander Soup,108.06,2.27,10.32,6.26,Indian,Indian
Garlic Soup,194.86,2.38,6.99,17.62,Indian,Indian
Dal Makhani,74.04,3.32,7.96,3.06,Indian,Indian
Dalma,118.93,4.91,15.04,4.58,Indian,Indian
Split Bengal Gram Dal (Channa Dal),99.67,4.15,9.99,4.62,Indian,Indian
Horsegram Dal (Kulthi Dal),55.65,2.91,8.21,1.13,Indian,Indian
Panchmel Dal,111.22,4.63,10.71,5.36,Indian,Indian
Dal Dhokli,68.74,2.96,8.55,2.47,Indian,Indian
Gujarati Handvo,207.09,8.24,31.86,4.8,Indian,Indian
Sev (Omapodi/Karapusa),609.14,5.12,12.87,60.08,Indian,Indian
Papdi,708.96,1.83,12.89,72.11,Indian,Indian
Jowar Dosa,294.35,8.5,40.53,10.28,Indian,Indian
Bread Roll,435.46,2.85,16.12,40.25,Indian,Indian
Soya Seekh Kebab,115.05,5.4,10.0,5.88,Indian,Indian
Classic Seasoned Black Beans,28.78,8.01,7.66,8.28,Indian,Indian
Maa Chaane Ki Dal,344.67,19.8,43.11,9.5,Indian,Indian
Garlic Chickpea Soup (Lahasun Aur Chane Ka Shoraba),89.53,4.45,13.92,2.01,Indian,Indian
White Sauce (Thin),115.17,3.31,6.58,8.41,Indian,Indian
White Sauce (Medium),151.27,3.36,7.98,11.76,Indian,Indian
White Sauce (Thick),209.69,3.43,10.24,17.19,Indian,Indian
Cheese Sauce,194.76,7.68,7.08,15.12,Indian,Indian
Egg Sauce,146.85,5.97,5.88,11.08,Indian,Indian
Mushroom Sauce,137.56,3.39,7.31,10.51,Indian,Indian
Mustard Sauce,158.58,3.98,8.29,12.17,Indian,Indian
Brown Sauce,109.18,11.92,5.38,23.67,Indian,Indian
Classic Italian Pasta,42.12,0.57,4.4,2.45,Indian,Indian
Pasta Spinach Sauce,85.46,1.76,1.76,7.9,Indian,Indian
Pasta Cheese Sauce,149.26,4.33,9.0,10.84,Indian,Indian
Mayonnaise,774.86,1.86,1.65,84.52,Indian,Indian
Low Calorie Quick Mayonnaise,242.89,1.41,4.71,24.35,Indian,Indian
Thousand Island Dressing,407.87,1.37,4.49,42.87,Indian,Indian
Curd Dip,79.95,5.04,7.95,3.36,Indian,Indian
Short Crust Pastry,422.1,6.11,44.72,23.98,Indian,Indian
Choux Pastry,222.37,5.55,16.2,14.96,Indian,Indian
Flaky Pastry,443.94,4.69,33.61,31.99,Indian,Indian
Sponge Cake,253.77,9.18,44.63,4.74,Indian,Indian
Glace Icing,323.51,0.01,86.31,0.01,Indian,Indian
Royal Icing,332.58,1.74,86.53,0.02,Indian,Indian
American Frosting,257.57,1.05,67.48,0.01,Indian,Indian
Gum Icing,223.07,5.94,53.19,0.0,Indian,Indian
Channa Murmura Premix,339.09,10.59,72.59,3.28,Indian,Indian
Cracked Wheat And Green Gram Dal Premix (Dalia Moong Dal Premix),362.16,15.89,64.75,5.11,Indian,Indian
Rice Flakes And Roasted Channa,333.4,10.57,71.94,2.94,Indian,Indian
Spinach Soup In Milk,56.72,2.89,3.98,3.2,Indian,Indian
Vegetable Soup,55.21,2.22,7.6,1.55,Indian,Indian
Mashed Banana With Milk,95.43,2.51,14.62,2.99,Indian,Indian
Poha With Curd (Poha Aur Dahi),173.32,6.01,26.72,4.65,Indian,Indian
Potato With Curd,73.18,3.19,12.01,1.33,Indian,Indian
Sweet Wheat Porridge (Sweet Dalia),140.66,5.11,23.77,2.79,Indian,Indian
Vegetable Khichdi/Khichri,143.17,5.61,19.57,4.53,Indian,Indian
Moong Dal Mixture,158.84,4.62,33.93,1.0,Indian,Indian
Cracked Wheat Khichri/Khichdi (Dalia Khichri/Khichdi),167.45,7.56,22.35,5.52,Indian,Indian
Stewed Apple,91.93,0.17,22.49,0.37,Indian,Indian
Lemon Squash (Nimbu Ka Squash),184.56,0.15,48.88,0.06,Indian,Indian
Orange Squash (Santre Ka Squash),193.26,0.22,50.88,0.04,Indian,Indian
Lichi Squash,198.33,0.3,51.96,0.08,Indian,Indian
Mango Squash (Aam Ka Squash),194.66,0.17,50.96,0.17,Indian,Indian
Pineapple Squash (Ananas Ka Squash),195.02,0.16,51.34,0.05,Indian,Indian
Lemon And Ginger Squash (Nimbu Aur Adrak Ka Squash),170.34,0.54,44.06,0.21,Indian,Indian
Apple Jam (Seb Ka Murabba),188.79,0.14,48.56,0.32,Indian,Indian
Plum Jam (Aloo Bukhara Jam),178.89,0.31,46.2,0.19,Indian,Indian
Pineapple Jam,149.18,0.32,38.27,0.15,Indian,Indian
Guava Jelly (Amrood Ki Jelly),115.74,1.11,28.18,0.25,Indian,Indian
Orange Marmalade (Santray Ka Murabba),104.17,0.66,25.94,0.13,Indian,Indian
Carrot Murabba (Gajar Ka Murabba),175.24,0.32,45.6,0.16,Indian,Indian
Gooseberry Marmalade (Amla Murabba),123.16,0.14,32.34,0.03,Indian,Indian
Ginger Candy (Adrak Ki Candy),195.71,0.69,50.38,0.27,Indian,Indian
Mango Pickle (Aam Ka Achaar),192.12,1.6,8.11,17.89,Indian,Indian
Mixed Vegetable Pickle (Sabziyoon Ka Achaar),211.2,1.9,7.48,19.68,Indian,Indian
Sweet Lemon Pickle (Neembu Ka Meetha Achaar),69.54,1.22,16.87,0.21,Indian,Indian
Plum Chutney (Aloo Bukhara Ki Chutney),177.11,0.47,44.95,0.29,Indian,Indian
Raw Mango Chutney (Kachhe Aam/Kairi Ki Chutney),193.13,0.51,49.94,0.16,Indian,Indian
Tomato Sauce,34.33,0.81,7.23,0.27,Indian,Indian
Tomato Puree,20.62,0.75,3.68,0.25,Indian,Indian
Garam Masala,254.21,9.89,26.2,10.97,Indian,Indian
Chat Masala,222.58,8.19,23.87,9.91,Indian,Indian
Kashmiri Masala,389.02,8.26,23.16,31.03,Indian,Indian
Rasam Powder (Rasam Masala),267.96,12.04,25.19,11.8,Indian,Indian
Sambar Powder (Sambar Masala),297.46,12.5,23.38,15.58,Indian,Indian
Tartare Sauce,610.93,1.44,2.96,66.12,Indian,Indian
Barbeque Sauce,121.93,0.96,20.46,4.51,Indian,Indian
Bread Sauce,111.04,3.46,8.69,7.05,Indian,Indian
Green Chilli Sauce,46.06,1.25,7.36,0.27,Indian,Indian
Home Made Plain Noodles,238.78,6.21,44.5,3.56,Indian,Indian
Dal Moong,43.69,2.2,4.92,1.62,Indian,Indian
Cumin Seeds Baghar (Jeera Baghar/Tadka),736.81,3.34,5.22,78.77,Indian,Indian
Onion Tomato Baghar (Pyaaz Tamatar Ka Tadka),137.52,1.26,6.17,11.98,Indian,Indian
Mustard Seeds Baghar (Mustard Seed Tadka),552.59,4.73,10.45,54.3,Indian,Indian
Hot Cherry Sauce,252.74,0.13,67.95,0.07,Indian,Indian
Apple Jelly (Seb Ki Jelly),152.13,0.1,39.37,0.21,Indian,Indian
Marmalade (Murabba),143.76,0.23,37.64,0.04,Indian,Indian
Plum Squash (Aloo Bukhara Squash),211.17,0.16,55.51,0.1,Indian,Indian
Lemon Green Chilli Pickle (Nimboo Aur Hari Mirch Ka Achaar),14.07,0.85,2.14,0.24,Indian,Indian
Brinjal Pickle (Baingan Ka Achaar),139.01,2.24,4.23,12.98,Indian,Indian
Sweet And Sour Tomato Pickle (Khatta Meetha Tamatar Ka Achaar),60.88,1.26,6.55,3.24,Indian,Indian
Jhatpat Achar With Carrot (Jhatpat Achaar Gajar Ke Saath),91.21,1.98,6.32,6.55,Indian,Indian
Tomato Chutney (Tamatar Ki Chutney),176.07,0.97,31.85,6.01,Indian,Indian
Tomato Ketchup,33.07,0.91,6.48,0.3,Indian,Indian
Bengal 5 Spice Blend (Panch Phoran),289.79,18.26,20.0,22.16,Indian,Indian
Soya Flour Gobi Stuffed Paratha,235.0,16.0,24.0,7.0,Veg,NutritionCF
Dumplings (Veg),115.0,4.0,22.0,1.0,Veg,NutritionCF
Baked Vegetables,17.0,0.0,1.0,1.0,Veg,NutritionCF
Lettuce Wrap (Chicken),214.0,20.0,10.0,9.0,Non-veg,NutritionCF
Soya Sizzler,305.0,28.0,21.0,10.0,Veg,NutritionCF
Fried Rice,1123.0,31.0,203.0,18.0,Veg,NutritionCF
Soy Milk,324.0,33.0,9.0,17.0,Veg,NutritionCF
Soya Bhurji,138.0,14.0,10.0,4.0,Veg,NutritionCF
Chicken Sizzler,271.0,9.0,19.0,18.0,Non-veg,NutritionCF
Rajma Chaat,551.0,36.0,94.0,2.0,Veg,NutritionCF
Saute Tofu,264.0,22.0,17.0,9.0,Veg,NutritionCF
Chilli Chicken,298.0,16.0,10.0,20.0,Non-veg,NutritionCF
Soya Granules,331.0,21.0,42.0,9.0,Veg,NutritionCF
Chicken Rice,352.0,15.0,51.0,10.0,Non-veg,NutritionCF
Gravy Tofu,503.0,18.0,22.0,35.0,Veg,NutritionCF
Masala Tofu,146.0,10.0,15.0,4.0,Veg,NutritionCF
Soya Roti Roll (Broccoli & Tofu),550.0,36.0,27.0,33.0,Veg,NutritionCF
Smoothie (Soya Milk),131.0,5.0,7.0,9.0,Veg,NutritionCF
Tofu Salad,66.0,3.0,6.0,2.0,Veg,NutritionCF
Soya Chunks Salad,333.0,22.0,50.0,3.0,Veg,NutritionCF
Noodles Tofu Sizzler,381.0,12.0,73.0,3.0,Veg,NutritionCF
Nutri Matar (Soya) Vegetable,204.0,11.0,23.0,7.0,Veg,NutritionCF
Soya Sprouts Salad,145.0,8.0,25.0,1.0,Veg,NutritionCF
Lettuce Wrap With Vegetables,173.0,8.0,19.0,5.0,Veg,NutritionCF
Beans/Chinese Beans,171.0,5.0,11.0,11.0,Veg,NutritionCF
Vegetables In Black Bean Sauce,147.0,9.0,19.0,1.0,Veg,NutritionCF
Vietnamese Cold Spring Roll,42.0,3.0,7.0,1.0,Veg,NutritionCF
Soya Wrap,246.0,16.0,29.0,6.0,Veg,NutritionCF
Shredded Chicken With Soya Sauce,220.0,22.0,7.0,13.0,Non-veg,NutritionCF
Rice Flour Wrap With Tofu And Veggie,281.0,7.0,44.0,7.0,Veg,NutritionCF
Soya Tikki,275.0,28.0,40.0,1.0,Veg,NutritionCF
Soya Flour Gobhi Stuffed Paratha,238.0,20.0,17.0,10.0,Veg,NutritionCF
Saute Tofu,51.0,5.0,2.0,3.0,Veg,NutritionCF
