Food_Name,Calories,Protein,Carbs,Fats,Food Category,Source
Paneer In Butter Sauce,145.61,6.99,9.7,8.81,Indian,Indian
Methi Malai Paneer,194.98,7.34,8.15,14.76,Indian,Indian
Chilli Paneer,777.51,2.1,3.31,84.01,Indian,Indian
Paneer Makhana Korma,775.82,3.24,4.63,82.76,Indian,Indian
Kadhai Paneer,107.99,4.33,7.34,6.81,Indian,Indian
Roghan Josh,139.59,9.56,4.93,9.02,Indian,Indian
Spinach Mutton (Palak Mutton),80.32,5.74,3.45,4.71,Indian,Indian
Pea Keema Curry (Matar Keema Ki Sabzi),133.0,8.43,6.24,8.14,Indian,Indian
Keema Kofta Curry,154.45,9.77,5.64,10.39,Indian,Indian
Kashmiri Mutton Koftas (Gushtaba),97.42,6.33,3.04,6.77,Indian,Indian
Mutton Yakhni,104.13,8.27,0.84,7.7,Indian,Indian
Chicken Yakhni,99.0,10.66,0.78,6.1,Indian,Indian
Mutton Do Piaza,183.3,9.39,4.14,14.41,Indian,Indian
Mutton Chops,663.64,4.03,1.48,71.31,Indian,Indian
Shammi Kebab,685.69,4.52,3.54,72.61,Indian,Indian
Scotch Egg,676.89,4.05,1.91,72.62,Indian,Indian
Shepherd'S Pie (With Minced Meat),142.78,7.45,8.06,8.88,Indian,Indian
Chicken Curry,129.22,11.79,3.38,7.57,Indian,Indian
Tandoori Chicken,145.2,16.26,2.34,7.93,Indian,Indian
Butter Chicken,137.0,10.92,3.74,8.7,Indian,Indian
Chicken Kebab,729.41,3.71,1.11,78.89,Indian,Indian
Chilli Chicken,198.83,9.57,2.86,16.56,Indian,Indian
Fried Chicken With Tomato Sauce (Fried Chicken Tamatar Ki Chutney Kay Saath),125.03,11.48,2.51,7.61,Indian,Indian
Fish Curry (Machli Curry),111.13,8.76,3.77,6.69,Indian,Indian
Fried Fish (Indian Style) (Tali Hui Machli),658.54,4.35,5.4,68.88,Indian,Indian
Fried Fish And Chips (English Style) (Tali Hui Machli Aur Chips),651.75,3.36,2.77,69.69,Indian,Indian
Tomato Fish,489.79,2.39,3.18,51.91,Indian,Indian
Baked Fish With Cheese Sauce,113.96,8.64,4.06,7.02,Indian,Indian
Fish Tikka,117.33,16.0,3.91,4.15,Indian,Indian
Tandoori Fish,95.98,11.19,2.37,4.64,Indian,Indian
"Paneer, Apple And Pineapple Salad",95.08,3.88,8.35,5.07,Indian,Indian
Russian Salad,114.83,4.26,6.5,7.84,Indian,Indian
Pasta Salad,190.36,4.15,12.7,13.92,Indian,Indian
Deviled Egg,98.56,4.97,2.23,7.72,Indian,Indian
Hawain Salad,175.23,4.27,14.35,11.37,Indian,Indian
Mixed Pulse And Vegetable Salad,83.12,4.74,13.96,0.84,Indian,Indian
Sprouted Moong Salad,37.81,2.29,5.48,0.74,Indian,Indian
Tossed Salad,62.96,1.02,4.95,4.22,Indian,Indian
Mixed Vegetable Salad With Curd Sauce,60.28,4.23,7.03,1.5,Indian,Indian
Potato Salad (Aloo Ka Salaad),89.91,1.4,11.19,4.4,Indian,Indian
Waldroff Salad,141.75,1.47,11.02,10.05,Indian,Indian
Coleslaw,76.71,1.24,5.59,5.32,Indian,Indian
Fruit Salad (Phalon Ka Salaad),78.14,0.91,15.96,1.22,Indian,Indian
Tomato Onion Raita (Tamatar Aur Pyaaz Ka Raita),59.0,3.74,7.08,1.84,Indian,Indian
Peanut Raita (Mungfali Ka Raita),150.39,8.59,9.3,8.98,Indian,Indian
Sprouted Moong Raita,60.89,4.62,6.13,2.19,Indian,Indian
Bottle Gourd Raita (Ghiya/Lauki Ka Raita),56.31,3.98,5.76,2.07,Indian,Indian
Cucumber Raita (Kheere Ka Raita),59.13,4.04,6.35,2.08,Indian,Indian
Carrot And Spinach Raita (Gajar Aur Palak Ka Raita),56.83,4.0,5.83,1.99,Indian,Indian
Mint Raita (Pudinay Ka Raita),77.59,5.64,7.65,2.96,Indian,Indian
Potato Raita (Aloo Ka Raita),75.38,4.22,10.24,2.04,Indian,Indian
Boondi Raita,687.72,2.19,3.96,73.83,Indian,Indian
Sweet Raita (Meetha Raita),99.24,3.24,17.93,1.78,Indian,Indian
Dahi Vadas/Dahi Bhalla,667.73,2.96,5.49,70.4,Indian,Indian
Gunjia,667.34,2.98,5.68,70.28,Indian,Indian
Saunth/Sonth Chutney With Tamarind/Imli,141.53,1.01,33.55,0.15,Indian,Indian
Rice Kheer (Chawal Ki Kheer),75.03,2.3,10.05,2.97,Indian,Indian
Makhana Kheer,107.85,3.31,12.88,5.0,Indian,Indian
Vermicelli Kheer (Semiya/Seviyan Ki Kheer),120.07,3.35,15.87,5.0,Indian,Indian
Semolina Kheer (Suji/Rava Kheer),113.21,3.43,15.88,4.2,Indian,Indian
Paneer Kheer,105.31,4.53,10.03,5.37,Indian,Indian
Cabbage Kheer (Pattagobhi Ki Kheer),83.51,2.87,9.73,3.8,Indian,Indian
Carrot Kheer (Gajar Ki Kheer),85.35,2.81,10.09,3.85,Indian,Indian
Cauliflower Kheer (Phoolgobhi Ki Kheer),81.95,3.04,8.78,3.95,Indian,Indian
Moong Dal Kheer,77.16,2.95,9.89,2.97,Indian,Indian
Phirni,116.12,3.49,16.11,4.34,Indian,Indian
Semolina Halwa (Suji Ka Halwa),225.65,2.16,24.67,13.38,Indian,Indian
Shahi Suji Halwa,382.34,3.48,44.44,21.73,Indian,Indian
Carrot Halwa (Gajar Ka Halwa),172.64,3.11,18.53,9.73,Indian,Indian
Egg Halwa (Ande Ka Halwa),299.74,7.85,39.59,13.41,Indian,Indian
Potato Halwa (Aloo Ka Halwa),151.66,1.53,29.18,3.48,Indian,Indian
Pumpkin Halwa (Kaddu Ka Halwa),190.27,1.33,27.6,8.81,Indian,Indian
Moong Dal Halwa,349.8,8.35,40.23,17.68,Indian,Indian
Caramel Custard (Steamed),121.58,4.97,15.02,4.87,Indian,Indian
Baked Custard,106.53,5.41,9.45,5.3,Indian,Indian
Soft Custard (Stirred),109.18,5.01,11.19,5.07,Indian,Indian
Chocolate Ice Cream,177.7,4.47,15.41,11.25,Indian,Indian
Mango Ice Cream,125.69,3.4,11.14,7.62,Indian,Indian
Fruit Ice Cream (Phalon Ka Ice Cream),171.46,4.37,16.05,10.38,Indian,Indian
Caramel Ice Cream,173.52,4.31,14.81,11.15,Indian,Indian
Lemon Souffle,168.51,6.95,13.43,10.02,Indian,Indian
Orange Souffle,168.28,6.8,14.2,9.73,Indian,Indian
Vanilla Souffle,187.85,7.71,14.78,11.19,Indian,Indian
Chocolate Souffle,189.32,7.88,14.74,11.36,Indian,Indian
Pineapple Souffle,196.14,8.06,15.52,11.72,Indian,Indian
Apple Mousse,106.92,4.21,12.77,4.27,Indian,Indian
Rich Chocolate Mousse,188.26,7.96,10.84,12.19,Indian,Indian
Mango Mousse,124.98,3.21,9.14,8.47,Indian,Indian
Orange And Pineapple Cream,101.18,1.44,11.96,5.43,Indian,Indian
Charlotte Rousse,188.29,3.95,34.08,4.78,Indian,Indian
Triffle Pudding,116.97,2.93,18.24,3.93,Indian,Indian
Snow Flakes Pudding,95.21,4.67,8.07,4.97,Indian,Indian
Kulfi,98.43,3.21,11.3,4.7,Indian,Indian
Steamed Orange Pudding,278.03,2.34,41.53,12.04,Indian,Indian
Meringue And Rice Pudding,112.93,4.84,14.6,4.05,Indian,Indian
Cheese Pudding,285.01,11.29,19.27,18.37,Indian,Indian
Chocolate Pudding,211.96,3.55,29.59,9.48,Indian,Indian
Bread And Butter Pudding,167.94,5.59,19.63,7.88,Indian,Indian
Queen Of Pudding,132.92,5.51,16.35,5.38,Indian,Indian
Pineapple Upside Down Pudding,257.73,3.15,35.73,11.91,Indian,Indian
Date And Nut Pie,322.42,3.93,46.86,13.31,Indian,Indian
Stewed Apple With Custard,92.87,1.27,18.36,1.82,Indian,Indian
Apple Snowballs,101.51,0.86,24.58,0.31,Indian,Indian
Hot Orange Souffle,179.97,6.87,18.77,8.95,Indian,Indian
Hot Chocolate Souffle,226.09,6.7,26.21,11.1,Indian,Indian
Hot Vanilla Souffle,192.93,6.87,21.77,9.07,Indian,Indian
Plain Burfi (Burfi),408.32,9.82,30.88,27.96,Indian,Indian
Coconut Burfi (Nariyal Ki Burfi),467.64,8.81,32.15,34.63,Indian,Indian
Bottle Gourd Burfi (Ghiya/Lauki Burfi),275.96,5.86,24.51,17.68,Indian,Indian
Chocolate Burfi,339.33,13.0,33.15,17.86,Indian,Indian
Cashewnut Burfi (Kaju Burfi/Kaju Katli),421.74,5.48,37.92,28.46,Indian,Indian
Gram Flour Burfi (Besan Burfi),421.79,11.19,46.59,22.41,Indian,Indian
Semolina Ladoo With Khoya (Suji/Rava Aur Khoye Ke Ladoo ),428.71,6.71,52.86,21.86,Indian,Indian
Semolina Ladoo With Coconut (Suji/Rava Aur Nariyal Ke Ladoo ),464.43,5.68,50.9,27.03,Indian,Indian
Gram Flour Ladoo (Besan Ladoo),476.91,8.93,62.61,22.76,Indian,Indian
Sesame Ladoo (Til Ke Ladoo),396.96,10.7,43.5,19.64,Indian,Indian
Chenna Murki,252.69,10.46,36.01,8.2,Indian,Indian
Milk Cake,127.41,3.01,9.13,8.93,Indian,Indian
Ghujia/Lavang Latika,768.98,1.86,13.0,78.93,Indian,Indian
Gulab Jamun With Khoya,586.06,2.03,26.09,53.23,Indian,Indian
Mal Pua,566.68,1.71,17.56,54.64,Indian,Indian
Shahi Tukre,189.81,2.76,41.46,2.54,Indian,Indian
Potato Pakora/Pakoda (Aloo Pakoda),677.19,1.9,6.04,71.84,Indian,Indian
Onion Pakora/Pakoda (Pyaaz Ke Pakode),674.61,1.9,5.41,71.84,Indian,Indian
Cauliflower Pakora/Pakoda (Phoolgobhi Ke Pakode),671.63,1.98,4.52,71.86,Indian,Indian
Mixed Vegetable Pakora/Pakoda,673.81,1.94,5.12,71.86,Indian,Indian
Spinach Pakora/Pakoda (Palak Pakoda),712.62,1.96,4.68,76.38,Indian,Indian
Methi Pakora/Pakoda (Methi Ke Pakode),713.25,2.06,4.68,76.39,Indian,Indian
Egg Pakora/Pakoda (Ande Ke Pakode),710.51,2.83,4.48,75.86,Indian,Indian
Bread Pakora/Pakoda,710.99,2.57,8.87,74.2,Indian,Indian
Paneer Pakora/Pakoda,718.12,3.27,5.52,76.05,Indian,Indian
Potato Bonda (Aloo Bonda),632.84,1.09,4.53,67.8,Indian,Indian
Potato Samosa (Aloo Ka Samosa),577.39,1.71,9.21,59.19,Indian,Indian
Minced Meat Samosa (Keema Ka Samosa),620.99,4.43,6.14,64.26,Indian,Indian
Paneer And Pea Samosa (Paneer Matar Ka Samosa),623.81,4.02,8.55,63.65,Indian,Indian
Mathri,805.12,1.75,12.32,83.1,Indian,Indian
Khasta Kachori,712.73,2.51,12.81,72.27,Indian,Indian
Vegetable Cutlet,665.45,1.25,4.68,71.33,Indian,Indian
Flattened Rice Cutlet (Chirwa Cutlet/Chivda Cutlet/Poha Cutlet),701.71,1.76,7.39,73.89,Indian,Indian
